ID_REF	VALUE
16650001	1.13802
16650003	2.88268
16650005	1.60761
16650007	2.43441
16650009	0.967346
16650011	2.09487
16650013	2.77067
16650015	5.11112
16650017	3.19518
16650019	1.35925
16650021	2.39356
16650023	2.02628
16650025	3.01942
16650027	1.14658
16650029	2.28957
16650031	4.5691
16650033	1.54552
16650035	1.6111
16650037	0.993979
16650041	4.82206
16650043	5.00715
16650045	2.79436
16650047	1.72889
16650049	1.29988
16650051	2.94466
16650053	5.0755
16650055	1.84627
16650057	3.8111
16650059	6.3191
16650061	0.893626
16650063	4.10412
16650065	1.55649
16650067	5.39879
16650069	1.72255
16650071	4.05907
16650073	6.80823
16650075	1.41291
16650077	1.48788
16650079	4.71317
16650081	2.40071
16650083	2.24434
16650085	3.58954
16650087	1.14658
16650089	3.83413
16650093	4.89532
16650095	2.15674
16650097	2.2854
16650099	3.25705
16650101	2.67153
16650103	2.58247
16650105	3.38605
16650107	5.19779
16650109	4.74179
16650111	2.06333
16650113	1.49715
16650115	3.98775
16650117	2.14277
16650119	2.83742
16650121	1.65234
16650123	2.92622
16650125	2.46637
16650127	4.37494
16650129	2.66618
16650131	6.75164
16650133	3.80206
16650135	3.54672
16650137	1.93185
16650139	5.37695
16650141	5.1887
16650143	4.18361
16650145	2.04313
16650147	2.64655
16650149	0.861465
16650151	4.36651
16650153	2.12164
16650155	4.49913
16650157	4.50019
16650159	3.55424
16650161	4.49542
16650163	4.24597
16650165	4.03044
16650167	2.7396
16650169	2.10227
16650171	2.31594
16650173	3.74799
16650175	3.4157
16650177	2.34699
16650179	1.54552
16650181	2.74776
16650183	2.76902
16650185	1.08017
16650187	1.80753
16650189	1.53172
16650191	1.36392
16650193	1.5413
16650195	1.74371
16650197	1.57347
16650199	1.54552
16650201	1.21499
16650203	1.23738
16650205	3.50602
16650207	2.32688
16650209	3.31646
16650211	4.36942
16650213	2.81649
16650215	1.29747
16650217	2.67486
16650219	1.48091
16650221	1.92961
16650223	2.96091
16650225	1.5203
16650227	0.873631
16650229	1.46801
16650231	3.65091
16650233	3.52871
16650235	4.27477
16650237	3.57805
16650239	2.18068
16650241	2.40126
16650243	2.94391
16650245	2.65705
16650247	2.169
16650249	2.01574
16650251	2.81649
16650253	4.10279
16650255	4.21467
16650257	3.58141
16650259	4.59428
16650261	1.85407
16650263	2.1729
16650265	1.5699
16650267	4.54007
16650269	2.90854
16650271	3.37768
16650273	5.56371
16650279	5.31333
16650281	7.33326
16650285	0.81802
16650287	4.46442
16650289	2.5101
16650291	3.73561
16650293	6.04714
16650295	2.2653
16650297	1.24041
16650299	1.74091
16650301	4.49634
16650303	4.60644
16650305	3.01854
16650307	1.21829
16650309	2.29571
16650311	4.32355
16650313	1.67998
16650315	2.53659
16650317	1.59518
16650319	1.3057
16650321	1.07144
16650323	2.51032
16650325	4.52959
16650327	4.85186
16650329	2.89901
16650331	1.41346
16650333	4.46914
16650335	4.858
16650337	3.4783
16650341	5.05022
16650343	5.3693
16650345	3.69433
16650347	10.0906
16650349	4.52786
16650351	5.81409
16650353	2.97853
16650355	3.85987
16650357	4.82907
16650359	5.24872
16650361	6.52172
16650363	5.88574
16650365	5.28573
16650367	4.05492
16650369	4.67413
16650371	5.99343
16650373	1.96206
16650375	2.45582
16650377	4.16894
16650379	3.81873
16650381	4.76943
16650383	6.75158
16650385	4.96219
16650387	2.36608
16650389	4.48988
16650391	5.76734
16650393	5.2692
16650395	5.93735
16650397	5.72831
16650399	5.32032
16650401	3.62877
16650403	5.76184
16650405	6.29964
16650407	4.50062
16650409	4.80557
16650411	4.71523
16650413	5.742
16650415	4.06683
16650417	6.24644
16650419	5.34473
16650421	4.82306
16650423	4.62148
16650425	4.78536
16650427	5.41119
16650429	4.96057
16650431	6.54503
16650433	3.692
16650435	3.15721
16650437	2.60924
16650439	4.59956
16650441	3.94761
16650443	5.0112
16650445	3.64282
16650447	3.38657
16650449	4.82014
16650451	4.28068
16650453	6.33545
16650455	3.76467
16650457	3.73444
16650459	5.89449
16650461	2.65595
16650463	4.41074
16650465	7.32836
16650467	2.2374
16650469	2.6518
16650471	4.18025
16650473	5.95115
16650475	5.44356
16650479	7.2794
16650481	7.42035
16650483	3.09172
16650485	4.45352
16650489	0.892876
16650491	1.14343
16650493	1.6111
16650495	1.48867
16650497	1.04942
16650499	1.96029
16650501	1.50289
16650503	1.62659
16650505	2.48815
16650507	1.3344
16650509	0.873631
16650511	3.30068
16650513	1.69698
16650515	3.02404
16650517	2.04332
16650519	0.907077
16650521	1.22004
16650523	5.99321
16650525	0.933721
16650527	1.36392
16650529	5.59489
16650531	3.54853
16650533	4.15434
16650535	4.40976
16650537	4.68988
16650539	5.13116
16650541	5.69844
16650543	4.69669
16650545	4.59951
16650547	2.79035
16650549	4.50068
16650551	3.69337
16650553	5.46899
16650555	2.27314
16650557	2.40109
16650559	3.93042
16650561	3.79345
16650563	2.42091
16650567	2.64953
16650569	2.52284
16650571	5.84184
16650573	2.89014
16650575	5.59624
16650577	2.61947
16650581	1.50242
16650583	4.99872
16650585	2.7508
16650587	5.03396
16650589	3.69537
16650591	4.2148
16650593	1.95797
16650597	2.09851
16650599	2.16628
16650601	8.62548
16650603	7.32654
16650605	5.48402
16650607	2.73923
16650609	3.73809
16650611	2.55519
16650613	1.92924
16650615	4.12205
16650617	3.73415
16650619	3.40477
16650621	3.82446
16650623	4.03995
16650625	4.95939
16650627	4.98837
16650629	4.45071
16650631	1.34561
16650633	5.44263
16650635	4.011
16650637	5.65757
16650639	5.11256
16650641	6.17127
16650643	2.2374
16650645	4.13035
16650647	6.50656
16650649	4.43759
16650651	5.02203
16650653	4.61651
16650655	4.197
16650657	3.2639
16650659	3.25485
16650661	4.14461
16650663	3.41921
16650665	0.882688
16650667	1.33323
16650669	2.45782
16650671	3.40862
16650673	4.5751
16650675	1.51954
16650677	3.52098
16650679	2.02021
16650681	3.08272
16650683	1.06017
16650685	2.22269
16650687	3.05188
16650689	1.30505
16650691	2.90195
16650693	2.81649
16650695	1.89352
16650699	4.40274
16650701	3.08767
16650703	7.20224
16650705	4.10152
16650707	3.19039
16650709	1.68395
16650711	2.5641
16650713	1.26997
16650715	4.09911
16650717	1.21499
16650719	2.55411
16650721	4.72887
16650723	2.81649
16650725	2.44024
16650727	2.40223
16650729	3.73893
16650731	3.69276
16650733	2.34844
16650735	6.51871
16650737	6.21831
16650739	1.15949
16650743	7.41661
16650745	1.9839
16650747	3.94218
16650749	3.75758
16650751	6.5402
16650753	0.852549
16650755	1.37856
16650757	1.48392
16650759	5.69949
16650761	4.72658
16650763	2.91835
16650765	4.36997
16650767	3.61633
16650769	3.1172
16650771	2.85911
16650773	3.80119
16650775	2.29775
16650777	7.51241
16650779	4.75819
16650781	5.14156
16650783	3.85809
16650785	0.891755
16650787	1.56817
16650789	0.929242
16650791	5.60028
16650793	7.70204
16650795	4.8296
16650797	2.83755
16650799	1.45398
16650801	1.48618
16650803	1.5203
16650805	1.28211
16650807	0.965189
16650809	3.34498
16650811	1.60534
16650813	1.09872
16650817	1.34309
16650819	6.07519
16650821	4.71591
16650823	2.22384
16650825	2.02015
16650827	5.79148
16650829	3.55192
16650831	0.836426
16650833	1.49047
16650835	2.62561
16650837	2.20128
16650839	4.20879
16650841	2.2374
16650843	2.39895
16650845	4.55534
16650847	1.99893
16650849	2.02364
16650851	2.96634
16650853	1.1402
16650855	1.20667
16650857	3.68542
16650859	2.02433
16650861	1.36392
16650863	1.4913
16650867	1.55614
16650869	2.84191
16650871	4.71003
16650873	1.7358
16650875	3.84386
16650879	2.81731
