ID_REF;VALUE
16650733;3.38208
16650735;6.63499
16650737;7.08632
16650739;2.69603
16650743;7.01729
16650745;2.08448
16650747;3.77969
16650749;2.67132
16650751;6.55059
16650753;0.609864
16650755;1.86215
16650757;1.69749
16650759;5.41742
16650761;4.59942
16650763;3.79809
16650765;4.22496
16650767;3.70055
16650769;3.53399
16650771;1.66544
16650773;3.66616
16650775;3.2889
16650777;7.26025
16650779;4.34569
16650781;4.20008
16650783;4.46637
16650785;1.94397
16650787;2.52072
16650789;1.02698
16650791;5.93103
16650793;7.37623
16650795;4.25208
16650797;1.19665
16650799;1.95402
16650801;0.7485
16650803;2.55322
16650805;0.933181
16650807;1.02806
16650809;2.5024
16650811;1.66748
16650813;0.799903
16650817;1.19083
16650819;5.80895
16650821;4.98292
16650823;1.73903
16650825;1.76289
16650827;5.69034
16650829;4.1748
16650831;0.889047
16650833;1.05136
16650835;3.53021
16650837;2.6099
16650839;4.40317
16650841;4.36829
16650843;3.71761
16650845;3.92416
16650847;1.98407
16650849;0.954981
16650851;2.83045
16650853;1.55023
16650855;1.65319
16650857;3.61127
16650859;1.99172
16650861;2.87319
16650863;1.19545
16650867;2.51455
16650869;0.914668
16650871;4.59534
16650873;1.41775
16650875;2.28855
16650879;3.0762
16650881;9.39588
16650883;3.36937
16650885;1.19467
16650887;0.683271
16650889;2.10222
16650891;3.66724
16650893;1.19083
16650895;2.19658
16650897;2.12928
16650899;2.19053
16650901;3.40118
16650903;0.604324
16650905;2.03867
16650907;1.61789
16650909;0.80199
16650911;2.35364
16650913;2.07423
16650915;1.12391
16650917;1.02698
16650921;2.1191
16650923;2.60691
16650925;2.19658
16650927;3.95001
16650929;5.31666
16650931;1.1398
16650933;1.30429
16650935;1.67084
16650937;1.84872
16650939;3.46864
16650941;3.3155
16650943;1.43812
16650945;5.90851
16650947;3.28886
16650949;1.40939
16650951;1.60349
16650953;1.12099
16650955;4.31377
16650957;3.19858
16650959;1.22267
16650961;2.42172
16650963;1.50553
16650965;1.91641
16650967;1.74465
16650969;3.2111
16650971;3.9001
16650975;1.57137
16650977;3.30857
16650979;1.6047
16650981;2.13113
16650983;2.44718
16650985;6.20357
16650987;1.13112
16650989;2.2939
16650991;2.81397
16650993;1.2999
16650995;1.83269
16650997;1.7403
16650999;0.79281
16651003;1.97059
16651005;3.86562
16651007;3.13693
16651009;3.31043
16651011;0.837235
16651013;5.55612
16651015;1.03027
16651017;3.03465
16651019;4.81962
16651021;3.03253
16651023;1.19083
16651025;6.53071
16651027;4.28963
16651029;4.1133
16651031;3.51408
16651033;0.624469
16651035;3.16239
16651037;1.76266
16651039;0.7485
16651041;3.17167
16651043;1.40119
16651047;2.65152
16651049;2.58262
16651051;0.675873
16651053;2.87498
16651057;1.34426
16651059;1.42392
16651061;1.45171
16651063;2.39575
16651065;2.90624
16651067;1.92115
16651069;1.59187
16651071;2.90608
16651073;1.27226
16651075;0.887373
16651077;4.86503
16651079;1.37178
16651081;1.7873
16651083;2.2998
16651085;5.03947
16651087;0.771337
16651089;2.29871
16651093;3.27787
16651095;5.08393
16651097;1.31498
16651099;1.81893
16651101;1.94579
16651103;1.92814
16651105;1.87981
16651107;2.9942
16651109;2.75452
16651111;3.28971
16651113;1.9314
16651115;3.18689
16651117;2.73463
16651119;1.53623
16651121;1.46374
16651123;5.23354
16651125;1.80618
16651127;3.83937
16651129;1.69301
16651131;2.65451
16651135;2.43121
16651137;3.61502
16651139;2.065
16651141;3.61414
16651143;1.57281
16651145;3.41087
16651147;1.23571
16651149;1.02665
16651151;1.93822
16651153;3.00079
16651159;2.21651
16651161;1.83964
16651163;2.60861
16651167;1.13667
16651169;2.43815
16651171;2.22738
16651173;2.05979
16651175;6.82829
16651177;2.03783
16651179;5.96557
16651181;2.42591
16651183;1.35567
16651185;1.3205
16651187;5.25536
16651189;1.63762
16651193;5.23887
16651195;6.83971
16651197;5.49012
16651199;6.97891
16651201;7.22027
16651203;1.15541
16651205;2.36799
16651207;1.98407
16651209;2.45517
16651211;6.52755
16651213;1.57281
16651215;6.96707
16651217;2.83176
16651219;5.14828
16651221;6.1322
16651223;3.91693
16651225;4.21905
16651227;5.23668
16651229;3.65656
16651231;5.74516
16651233;4.70141
16651235;4.39615
16651237;7.21564
16651239;4.13583
16651241;4.9833
16651243;5.33856
16651245;4.32833
16651247;5.34404
16651249;3.73514
16651251;1.88469
16651253;2.34492
16651255;2.79009
16651257;0.825726
16651259;4.55496
16651261;6.01968
16651263;5.88599
16651265;5.60941
16651267;2.16923
16651269;5.13568
16651271;5.73906
16651273;3.46864
16651275;5.3409
16651277;4.19823
16651279;5.1829
16651281;3.3489
16651283;4.40289
16651285;5.05109
16651287;3.46864
16651289;2.04408
16651291;1.78025
16651293;3.94099
16651295;1.3454
16651297;4.61543
16651299;5.71311
16651301;1.47675
16651303;2.90197
16651305;6.485
16651307;2.24865
16651309;3.67608
16651311;1.68263
16651313;5.1176
16651315;7.37623
16651317;1.13127
16651319;5.09834
16651321;3.1561
16651323;2.70963
16651325;6.26562
16651327;4.56299
16651329;1.68241
16651331;5.79798
16651333;2.82925
16651335;4.12153
16651337;3.64779
16651339;0.964888
16651341;3.58617
16651343;3.29978
16651345;6.35049
16651347;4.27918
16651349;5.54431
16651351;3.9393
16651353;5.23837
16651355;5.05091
16651357;5.05613
16651359;5.73132
16651361;4.14963
16651363;5.86449
16651365;1.34296
16651367;3.21907
16651369;2.91904
16651371;4.40503
16651373;0.842424
16651375;5.87188
16651377;4.46395
16651379;3.42916
16651381;1.04082
16651383;5.26423
16651385;3.85405
16651387;5.05774
16651389;0.760498
16651391;3.92257
16651393;1.89557
16651395;2.70291
16651397;4.24551
16651399;4.54993
16651401;3.34331
16651403;4.13033
16651405;3.37484
16651407;2.83555
16651409;4.67311
16651411;3.02506
16651413;4.3679
16651415;4.65467
16651417;5.88599
16651419;2.49419
16651421;7.07888
16651423;4.41025
16651425;6.45413
16651427;6.04113
16651429;4.97744
16651431;7.71537
16651433;5.18422
16651435;6.97414
16651439;6.23256
16651441;4.22904
16651443;5.62564
16651445;4.60033
16651447;3.34918
16651449;8.53446
16651451;5.22529
16651453;6.03956
16651455;4.90047
16651457;3.60418
16651459;5.27173
16651461;4.25285
16651463;5.63736
16651465;5.1939
16651467;4.28144
16651469;3.75495
16651471;5.11245
16651473;4.16108
16651475;5.47207
16651477;2.29908
16651479;3.97144
16651481;1.4657
16651483;4.03931
16651485;5.2835
16651487;6.64763
16651491;8.58048
16651493;3.5294
16651495;1.41346
16651497;5.25757
16651499;4.79295
16651501;1.51106
16651505;1.55599
16651507;0.87253
16651509;4.86901
16651511;5.88614
16651513;2.24272
16651515;3.50684
16651517;4.97923
16651519;3.42448
16651521;5.18444
16651523;0.87713
16651525;3.87125
16651527;4.48651
16651529;2.56094
16651531;1.41726
16651533;2.75976
16651535;6.39681
16651537;3.48699
16651539;1.06625
16651541;2.31997
16651543;2.10699
16651545;1.57281
16651547;3.45525
16651549;1.89178
16651551;5.56918
16651553;5.85965
16651555;2.01994
16651557;4.99082
16651559;1.58006
16651561;2.75469
16651563;3.03995
16651567;4.32826
16651569;3.8812
16651571;3.66633
16651573;1.98576
16651575;5.12228
16651577;1.87935
16651579;1.47913
16651581;5.37756
16651583;2.85072
16651585;3.18899
16651587;3.61332
16651589;4.55003
16651591;0.87253
16651593;2.85857
16651595;4.48099
16651597;3.94925
16651599;6.64667
16651601;6.12373
16651603;6.22366
16651605;3.50004
16651607;3.8199
16651609;4.98966
16651611;5.58343
16651613;3.22393
16651615;2.70464
16651617;2.49394
16651619;4.26534
16651621;5.39026
16651623;6.27023
16651625;6.26306
16651627;4.05435
16651629;4.87205
16651631;5.16854
16651633;2.63435
16651635;5.29675
16651637;1.64947
16651639;3.55975
16651641;5.31873
16651643;7.35691
16651645;7.42865
16651647;7.02356
16651649;7.33452
16651653;9.13138
16651655;8.1593
16651657;8.07471
16651659;3.94356
16651661;6.07002
16651663;6.10296
16651665;4.39303
16651667;5.16417
16651669;5.10109
16651671;5.05398
16651673;5.67771
16651675;4.54071
16651677;5.47974
16651679;6.22119
16651681;4.47074
16651683;5.34387
16651685;4.44799
16651687;2.36759
16651689;4.95919
16651691;3.79658
16651693;3.2769
16651695;5.39737
16651697;3.90567
16651699;4.18491
16651701;3.59837
16651703;3.98097
16651705;3.347
16651707;4.3083
16651709;4.02073
16651711;1.88037
16651715;4.79357
16651717;2.72552
16651719;5.08798
16651721;3.32289
16651723;2.84021
16651725;2.51323
16651727;3.68285
16651729;3.64413
16651731;4.27347
16651733;2.42736
16651735;2.83261
16651737;3.43548
16651739;3.59045
16651741;4.63252
16651743;4.83581
16651745;1.57991
16651747;5.38463
16651749;4.87018
16651751;4.53089
16651753;6.00453
16651755;5.48043
16651757;4.3684
16651761;4.53089
16651763;4.78213
16651765;4.92539
16651767;3.4673
16651769;4.08002
16651771;3.09636
16651773;1.49879
16651775;5.15581
16651777;4.33327
16651779;5.97482
16651781;5.91739
16651783;3.43853
16651785;3.92227
16651787;6.09037
16651789;2.55718
16651791;4.928
16651793;4.87712
16651795;5.19304
16651797;4.52413
16651799;2.20696
16651801;2.73463
16651803;5.53123
16651805;6.50203
16651807;3.79578
16651809;3.21023
16651811;3.53337
16651813;4.60585
16651815;2.33414
16651817;4.45054
16651819;2.44415
16651821;5.47709
16651823;4.33571
16651825;2.80898
16651827;3.10163
16651829;2.09032
16651831;0.87253
16651833;3.01328
16651835;6.4885
16651837;3.9639
16651841;3.99083
16651843;3.25789
16651845;4.2568
16651847;2.92232
16651851;5.11661
16651853;5.40934
16651855;4.98035
16651857;2.07909
16651859;4.57771
16651861;3.59332
16651863;5.01589
16651865;3.66166
16651867;1.19083
16651869;2.91831
16651873;3.91297
16651877;5.50116
16651879;4.98844
16651881;4.48951
16651883;2.62078
16651885;2.85774
16651887;4.1742
16651889;2.86651
16651891;1.69732
16651893;4.06235
16651895;7.1316
16651899;5.19288
16651903;6.30172
16651905;7.46197
16651907;5.8022
16651909;1.22502
16651911;2.15726
16651913;2.92934
16651915;3.99003
16651917;1.80346
16651919;3.64558
16651921;3.46864
16651923;6.79457
16651925;3.33594
16651927;3.62722
16651929;2.18362
16651931;2.33957
16651933;1.19357
16651935;0.760498
16651937;6.247
16651939;1.11838
16651941;2.98733
16651943;2.96151
16651945;1.67442
16651947;1.93471
16651949;6.81205
16651951;2.29953
16651953;2.19658
16651955;1.53252
16651957;5.08798
16651959;2.95529
16651961;5.64747
16651963;4.17817
16651965;3.34638
16651967;4.15105
16651969;5.09892
16651971;3.20733
16651973;2.1274
16651975;1.34787
16651977;2.98311
16651979;5.91299
16651981;3.73378
16651983;3.99003
16651985;1.82991
16651987;2.55131
16651989;1.96228
16651991;4.8917
16651993;1.32499
16651995;3.0467
16651997;1.60406
16652001;3.17733
16652003;4.27062
16652005;1.36392
16652007;1.66643
16652009;3.53765
16652011;4.11216
16652013;3.0333
16652015;1.76266
16652017;0.880286
16652019;2.58382
16652021;2.19658
16652023;4.15182
16652025;6.20236
16652027;4.25777
16652031;2.8675
16652033;5.67415
16652035;4.5703
16652037;4.87903
16652039;4.01261
16652041;3.22562
16652043;3.31723
16652047;3.82907
16652049;1.64548
16652051;2.20701
16652055;3.26334
16652057;4.16156
16652059;0.87253
16652061;0.697292
16652063;2.56608
