ID_REF	VALUE
16650001	2.33766
16650003	1.81141
16650005	2.67854
16650007	2.23674
16650009	1.37628
16650011	1.74118
16650013	4.09317
16650015	4.60738
16650017	2.39749
16650019	2.06718
16650021	2.52777
16650023	1.47155
16650025	3.17612
16650027	1.54539
16650029	2.66239
16650031	4.17281
16650033	2.73463
16650035	1.20691
16650037	1.02698
16650041	5.05166
16650043	4.37804
16650045	2.63421
16650047	2.38736
16650049	1.83782
16650051	1.26681
16650053	4.75554
16650055	1.78039
16650057	4.11232
16650059	6.66091
16650061	1.15794
16650063	4.75934
16650065	2.15012
16650067	5.12979
16650069	2.12227
16650071	3.97842
16650073	6.21418
16650075	1.88111
16650077	1.68977
16650079	4.14802
16650081	2.44757
16650083	1.6444
16650085	2.03462
16650087	1.74302
16650089	3.81929
16650093	5.13565
16650095	2.42453
16650097	3.30788
16650099	2.48662
16650101	0.867996
16650103	3.53972
16650105	4.96048
16650107	5.0244
16650109	3.44949
16650111	3.03222
16650113	0.893408
16650115	4.3305
16650117	2.67298
16650119	2.19573
16650121	1.21457
16650123	3.66072
16650125	1.7625
16650127	3.80652
16650129	3.82622
16650131	6.3626
16650133	4.09166
16650135	3.42083
16650137	3.43661
16650139	5.35303
16650141	5.46206
16650143	4.52707
16650145	3.70352
16650147	2.7443
16650149	0.906311
16650151	4.8474
16650153	1.8636
16650155	3.55756
16650157	5.14924
16650159	3.09462
16650161	5.02878
16650163	4.39292
16650165	4.45112
16650167	3.56812
16650169	3.42278
16650171	2.40327
16650173	3.8372
16650175	3.17462
16650177	1.95253
16650179	1.28164
16650181	2.37194
16650183	2.70224
16650185	1.64618
16650187	1.67909
16650189	0.684795
16650191	1.35149
16650193	1.43964
16650195	2.0084
16650197	2.5338
16650199	1.73726
16650201	2.92626
16650203	1.29028
16650205	3.41594
16650207	2.06379
16650209	4.12546
16650211	4.79454
16650213	2.28592
16650215	2.82121
16650217	3.99241
16650219	2.21296
16650221	2.8511
16650223	3.10534
16650225	2.5943
16650227	0.890816
16650229	1.67367
16650231	3.35469
16650233	4.93577
16650235	4.74037
16650237	3.12467
16650239	2.22071
16650241	3.49516
16650243	3.07448
16650245	2.88366
16650247	2.36563
16650249	2.97279
16650251	2.26201
16650253	4.03668
16650255	3.84078
16650257	2.6627
16650259	2.00302
16650261	0.958937
16650263	2.44225
16650265	3.13672
16650267	5.23412
16650269	2.01389
16650271	3.48655
16650273	5.03042
16650279	5.03396
16650281	7.84231
16650285	2.28592
16650287	4.83659
16650289	3.26404
16650291	3.83895
16650293	6.35967
16650295	2.55155
16650297	1.38182
16650299	1.99803
16650301	3.7391
16650303	4.3403
16650305	2.55373
16650307	1.49414
16650309	2.27185
16650311	3.97542
16650313	1.90746
16650315	4.41732
16650317	1.39333
16650319	2.44319
16650321	1.41175
16650323	2.86409
16650325	3.7692
16650327	5.12776
16650329	4.01941
16650331	2.96075
16650333	4.57136
16650335	5.27204
16650337	4.92973
16650341	5.04256
16650343	5.24468
16650345	2.9758
16650347	10.1035
16650349	4.78499
16650351	6.05555
16650353	3.69961
16650355	4.663
16650357	5.24689
16650359	4.98355
16650361	6.10432
16650363	5.83312
16650365	4.95178
16650367	4.29764
16650369	5.05969
16650371	5.68272
16650373	2.44786
16650375	2.73421
16650377	4.5071
16650379	3.60863
16650381	5.35589
16650383	7.16374
16650385	5.09253
16650387	4.41233
16650389	5.02875
16650391	6.07124
16650393	5.40354
16650395	6.9669
16650397	6.09596
16650399	5.75566
16650401	2.81531
16650403	5.87369
16650405	6.37125
16650407	4.04557
16650409	4.42889
16650411	4.03205
16650413	4.87261
16650415	5.98268
16650417	5.66235
16650419	4.92539
16650421	5.43167
16650423	4.07948
16650425	4.33632
16650427	5.41062
16650429	4.1463
16650431	6.29098
16650433	3.42163
16650435	3.39364
16650437	2.56804
16650439	4.67531
16650441	3.92064
16650443	4.66875
16650445	3.57025
16650447	2.86516
16650449	4.79449
16650451	5.19221
16650453	6.41552
16650455	4.58061
16650457	4.85234
16650459	5.85347
16650461	4.60892
16650463	4.86757
16650465	7.24484
16650467	1.56662
16650469	2.67597
16650471	3.59133
16650473	5.89484
16650475	5.65619
16650479	8.24235
16650481	6.91434
16650483	3.48512
16650485	4.23547
16650489	1.24674
16650491	1.24117
16650493	3.45058
16650495	1.08915
16650497	1.38973
16650499	0.878302
16650501	1.50391
16650503	1.29524
16650505	1.19083
16650507	1.33517
16650509	1.07572
16650511	1.20836
16650513	1.13113
16650515	2.13681
16650517	1.89597
16650519	1.19206
16650521	1.48549
16650523	6.16559
16650525	1.45025
16650527	2.06379
16650529	5.65418
16650531	2.5338
16650533	3.27966
16650535	4.79145
16650537	5.07931
16650539	3.59234
16650541	5.80961
16650543	4.82207
16650545	5.3491
16650547	4.4214
16650549	5.60776
16650551	3.13186
16650553	5.64437
16650555	2.158
16650557	1.84845
16650559	4.65672
16650561	4.37656
16650563	2.93332
16650567	3.08376
16650569	4.04984
16650571	5.89392
16650573	3.28743
16650575	5.69143
16650577	2.30143
16650581	1.26479
16650583	5.05368
16650585	3.07373
16650587	2.73463
16650589	3.65647
16650591	3.81786
16650593	2.50884
16650597	3.41763
16650599	1.63397
16650601	8.57754
16650603	7.00295
16650605	5.51779
16650607	3.49541
16650609	2.28874
16650611	2.40531
16650613	2.10398
16650615	3.19859
16650617	4.19363
16650619	2.62834
16650621	3.33523
16650623	3.35605
16650625	5.16359
16650627	5.17782
16650629	4.89989
16650631	1.63391
16650633	5.81734
16650635	4.63665
16650637	4.51157
16650639	4.66866
16650641	5.18276
16650643	1.63391
16650645	5.09515
16650647	6.45394
16650649	3.6333
16650651	4.73878
16650653	3.78487
16650655	4.31446
16650657	2.50083
16650659	3.61293
16650661	4.43503
16650663	2.89219
16650665	0.856897
16650667	1.34385
16650669	1.85625
16650671	2.28347
16650673	4.96278
16650675	1.44697
16650677	3.61223
16650679	1.77676
16650681	1.96176
16650683	1.58184
16650685	2.38866
16650687	3.06967
16650689	1.55947
16650691	3.48024
16650693	3.05671
16650695	1.96555
16650699	3.11582
16650701	2.52057
16650703	6.38415
16650705	4.85453
16650707	3.08376
16650709	2.43668
16650711	3.85427
16650713	1.45763
16650715	3.70352
16650717	1.19083
16650719	1.33045
16650721	4.22229
16650723	2.5338
16650725	3.14782
16650727	1.9195
16650729	5.14471
16650731	4.11301
16650733	2.83035
16650735	6.3668
16650737	5.83226
16650739	1.38973
16650743	7.13567
16650745	2.68951
16650747	4.49744
16650749	1.95768
16650751	6.35137
16650753	1.0497
16650755	1.67908
16650757	1.0026
16650759	3.71171
16650761	3.83842
16650763	2.90228
16650765	5.18427
16650767	4.25054
16650769	4.50615
16650771	2.4029
16650773	3.79415
16650775	2.99219
16650777	7.91067
16650779	5.26478
16650781	5.26084
16650783	3.52008
16650785	2.39458
16650787	1.34988
16650789	1.39934
16650791	5.95448
16650793	7.45215
16650795	4.77866
16650797	1.29513
16650799	1.47383
16650801	2.44278
16650803	2.52043
16650805	2.06718
16650807	1.24621
16650809	2.45872
16650811	1.43081
16650813	1.28864
16650817	1.12336
16650819	5.8239
16650821	5.45256
16650823	2.94664
16650825	2.51093
16650827	6.93384
16650829	4.62285
16650831	2.16818
16650833	1.51081
16650835	2.88725
16650837	1.39194
16650839	3.50227
16650841	3.53985
16650843	2.28592
16650845	4.4693
16650847	2.08732
16650849	1.33152
16650851	1.38789
16650853	1.41866
16650855	1.81681
