ID_REF	VALUE
16650001	2.06837
16650003	2.06691
16650005	4.08253
16650007	2.04927
16650009	1.55436
16650011	1.2466
16650013	3.92935
16650015	5.46595
16650017	2.92447
16650019	1.73838
16650021	2.44573
16650023	3.79805
16650025	3.22178
16650027	0.960725
16650029	2.92626
16650031	4.21729
16650033	1.57281
16650035	0.830656
16650037	1.22547
16650041	4.87437
16650043	4.35535
16650045	3.0458
16650047	3.65058
16650049	2.5286
16650051	2.69557
16650053	4.62385
16650055	1.97045
16650057	3.2787
16650059	6.61489
16650061	1.00658
16650063	3.10451
16650065	2.15655
16650067	4.46541
16650069	1.56016
16650071	3.7958
16650073	6.27429
16650075	2.44258
16650077	2.42091
16650079	4.34633
16650081	3.72684
16650083	2.49061
16650085	3.80937
16650087	2.5128
16650089	3.39681
16650093	6.12475
16650095	2.75021
16650097	2.29922
16650099	2.43589
16650101	1.52485
16650103	4.04535
16650105	4.3411
16650107	5.56641
16650109	3.49492
16650111	3.74805
16650113	2.90919
16650115	4.24555
16650117	3.00195
16650119	1.86402
16650121	1.33638
16650123	4.30234
16650125	2.91926
16650127	4.39295
16650129	3.50467
16650131	6.45868
16650133	4.66999
16650135	4.03767
16650137	2.95814
16650139	5.57448
16650141	5.03576
16650143	4.73828
16650145	2.27681
16650147	4.00323
16650149	1.45592
16650151	5.8749
16650153	2.00588
16650155	4.3871
16650157	3.16818
16650159	3.80216
16650161	5.43457
16650163	4.65593
16650165	4.52529
16650167	4.00576
16650169	3.44134
16650171	3.03277
16650173	3.81493
16650175	3.826
16650177	2.59248
16650179	1.45472
16650181	1.85997
16650183	3.65801
16650185	2.71207
16650187	2.12566
16650189	1.20289
16650191	1.01386
16650193	2.50686
16650195	3.11527
16650197	2.92626
16650199	1.91034
16650201	0.692134
16650203	1.82492
16650205	3.00846
16650207	2.59759
16650209	2.56624
16650211	4.02361
16650213	3.23158
16650215	1.00658
16650217	4.30141
16650219	1.58999
16650221	2.84949
16650223	4.20406
16650225	2.77948
16650227	1.02202
16650229	1.84577
16650231	4.18887
16650233	3.23158
16650235	3.85301
16650237	3.48474
16650239	3.80807
16650241	4.3434
16650243	4.2733
16650245	2.03806
16650247	2.75853
16650249	3.27128
16650251	2.96229
16650253	4.96204
16650255	4.0717
16650257	3.33546
16650259	4.15446
16650261	2.93824
16650263	2.97868
16650265	3.98561
16650267	5.1689
16650269	3.91283
16650271	4.15093
16650273	5.36381
16650279	4.38455
16650281	7.55544
16650285	2.04313
16650287	3.81016
16650289	2.81886
16650291	3.90322
16650293	5.93665
16650295	3.30419
16650297	1.38182
16650299	3.76854
16650301	3.90534
16650303	5.41624
16650305	2.1737
16650307	2.57589
16650309	1.68783
16650311	5.07086
16650313	1.93808
16650315	3.57071
16650317	2.28592
16650319	2.73787
16650321	0.579553
16650323	2.50358
16650325	3.51511
16650327	5.24145
16650329	4.722
16650331	4.76764
16650333	4.84939
16650335	6.43023
16650337	4.84705
16650341	4.80154
16650343	4.53148
16650345	4.7136
16650347	9.84315
16650349	5.95361
16650351	5.47207
16650353	3.55378
16650355	3.57568
16650357	3.93053
16650359	5.41059
16650361	6.6643
16650363	5.98823
16650365	5.05882
16650367	4.56778
16650369	5.67727
16650371	6.19593
16650373	3.41864
16650375	2.87851
16650377	4.93289
16650379	3.66652
16650381	5.05565
16650383	6.52887
16650385	4.90447
16650387	5.29047
16650389	4.33137
16650391	6.51219
16650393	5.68121
16650395	7.15956
16650397	6.35298
16650399	4.99331
16650401	4.20162
16650403	6.08535
16650405	6.4514
16650407	4.37933
16650409	5.06943
16650411	4.87194
16650413	5.581
16650415	6.52437
16650417	6.06876
16650419	4.38455
16650421	4.71424
16650423	5.42077
16650425	5.19343
16650427	5.44795
16650429	5.3228
16650431	6.10754
16650433	3.73607
16650435	3.22755
16650437	4.57646
16650439	4.64567
16650441	4.45798
16650443	5.30772
16650445	4.67632
16650447	3.92171
16650449	5.46432
16650451	5.46929
16650453	6.78724
16650455	4.16772
16650457	5.18056
16650459	6.61913
16650461	4.48292
16650463	5.25483
16650465	7.22202
16650467	3.0988
16650469	3.48306
16650471	5.04721
16650473	4.25025
16650475	6.41039
16650479	7.54148
16650481	6.97249
16650483	2.92625
16650485	5.02119
16650489	1.00658
16650491	1.40503
16650493	2.29775
16650495	1.55409
16650497	2.28592
16650499	1.30427
16650501	1.78512
16650503	1.11565
16650505	4.82717
16650507	1.70352
16650509	2.13316
16650511	1.82492
16650513	1.22493
16650515	2.81802
16650517	3.50425
16650519	1.09027
16650521	1.2897
16650523	5.9384
16650525	1.22674
16650527	1.19083
16650529	5.06469
16650531	1.84845
16650533	3.80911
16650535	4.93721
16650537	4.43799
16650539	5.54233
16650541	5.44465
16650543	5.05479
16650545	5.30994
16650547	3.6477
16650549	5.79804
16650551	3.15236
16650553	5.30381
16650555	1.57408
16650557	1.36392
16650559	5.49276
16650561	5.00271
16650563	2.40798
16650567	3.62074
16650569	2.98493
16650571	6.10399
16650573	3.37529
16650575	6.02861
16650577	3.40326
16650581	2.74368
16650583	4.82834
16650585	2.42994
16650587	4.77543
16650589	3.77886
16650591	4.63746
16650593	1.13408
